emotion,feature_layer,feature_id,upstream_layer,component_type,component_name,head_idx,clean_activation,ablated_activation,causal_effect,prompt
Joy,25,13068,15,MLP,L15.MLP,-1,46.0946159362793,40.603816986083984,5.4907989501953125,Well good luck and have fun!
Joy,25,13068,15,Attn,L15.Attn,-1,46.0946159362793,44.18217849731445,1.9124374389648438,Well good luck and have fun!
Joy,25,13068,15,Head,L15.H0,0,46.0946159362793,45.88624954223633,0.20836639404296875,Well good luck and have fun!
Joy,25,13068,15,Head,L15.H1,1,46.0946159362793,45.94912338256836,0.1454925537109375,Well good luck and have fun!
Joy,25,13068,15,Head,L15.H2,2,46.0946159362793,41.21676254272461,4.8778533935546875,Well good luck and have fun!
Joy,25,13068,15,Head,L15.H3,3,46.0946159362793,45.82523727416992,0.269378662109375,Well good luck and have fun!
Joy,25,13068,15,Head,L15.H4,4,46.0946159362793,45.7775764465332,0.31703948974609375,Well good luck and have fun!
Joy,25,13068,15,Head,L15.H5,5,46.0946159362793,43.144439697265625,2.950176239013672,Well good luck and have fun!
Joy,25,13068,15,Head,L15.H6,6,46.0946159362793,53.83231735229492,-7.737701416015625,Well good luck and have fun!
Joy,25,13068,15,Head,L15.H7,7,46.0946159362793,41.577999114990234,4.5166168212890625,Well good luck and have fun!
Joy,25,13068,16,MLP,L16.MLP,-1,46.0946159362793,43.19693374633789,2.8976821899414062,Well good luck and have fun!
Joy,25,13068,16,Attn,L16.Attn,-1,46.0946159362793,46.85601806640625,-0.7614021301269531,Well good luck and have fun!
Joy,25,13068,16,Head,L16.H0,0,46.0946159362793,46.887939453125,-0.7933235168457031,Well good luck and have fun!
Joy,25,13068,16,Head,L16.H1,1,46.0946159362793,45.524600982666016,0.5700149536132812,Well good luck and have fun!
Joy,25,13068,16,Head,L16.H2,2,46.0946159362793,45.853294372558594,0.24132156372070312,Well good luck and have fun!
Joy,25,13068,16,Head,L16.H3,3,46.0946159362793,45.49597930908203,0.5986366271972656,Well good luck and have fun!
Joy,25,13068,16,Head,L16.H4,4,46.0946159362793,46.154788970947266,-0.06017303466796875,Well good luck and have fun!
Joy,25,13068,16,Head,L16.H5,5,46.0946159362793,45.736995697021484,0.3576202392578125,Well good luck and have fun!
Joy,25,13068,16,Head,L16.H6,6,46.0946159362793,45.62588119506836,0.4687347412109375,Well good luck and have fun!
Joy,25,13068,16,Head,L16.H7,7,46.0946159362793,46.732303619384766,-0.6376876831054688,Well good luck and have fun!
Joy,25,13068,17,MLP,L17.MLP,-1,46.0946159362793,48.763187408447266,-2.6685714721679688,Well good luck and have fun!
Joy,25,13068,17,Attn,L17.Attn,-1,46.0946159362793,44.92032241821289,1.1742935180664062,Well good luck and have fun!
Joy,25,13068,17,Head,L17.H0,0,46.0946159362793,45.96805191040039,0.12656402587890625,Well good luck and have fun!
Joy,25,13068,17,Head,L17.H1,1,46.0946159362793,46.176944732666016,-0.08232879638671875,Well good luck and have fun!
Joy,25,13068,17,Head,L17.H2,2,46.0946159362793,43.96210861206055,2.13250732421875,Well good luck and have fun!
Joy,25,13068,17,Head,L17.H3,3,46.0946159362793,47.06209945678711,-0.9674835205078125,Well good luck and have fun!
