experiment_type,source_emotion,target_emotion,layer,feature_id,prompt,alpha,baseline_log_prob,steered_log_prob,delta_log_prob
cross_emotion,Joy,Sadness,25,13068,"As a former [NAME], I apologize. That’s tough",4,-33.01147239208221,-32.974544101953505,0.036928290128706465
cross_emotion,Joy,Sadness,25,13068,This is beautiful and heartbreaking :(,4,-23.168918289244175,-23.14654221832752,0.02237607091665339
cross_emotion,Joy,Sadness,25,13068,"Tried it. Failed it. Got mental consequences, my m...",4,-28.2095689535141,-28.182749676704407,0.026819276809693093
cross_emotion,Joy,Anger,25,13068,"You're the one who's out, biggy. Out of your mind!",4,-24.543952083587648,-24.565820980072022,-0.02186889648437429
cross_emotion,Joy,Anger,25,13068,Classic sloth fuckboi,4,-27.414205503463744,-27.44105839729309,-0.026852893829346414
cross_emotion,Joy,Anger,25,13068,Must be so frustrating having the wrong old man fa...,4,-25.855739736557005,-25.87915906906128,-0.023419332504275303
cross_emotion,Joy,Fear,25,13068,"As a risk analyst, that's a terrible idea, Risk is...",4,-31.39885892868042,-31.403465270996094,-0.004606342315675249
cross_emotion,Joy,Fear,25,13068,Top 10 nibbas satan's too afraid to torture.,4,-21.111821937561036,-21.121587371826173,-0.00976543426513743
cross_emotion,Joy,Fear,25,13068,"It would probably be horrifying if we tried, when ...",4,-23.90058317184448,-23.90794653892517,-0.007363367080689187
cross_emotion,Joy,Disgust,25,13068,Unhhh has not been funny for a while now. This is ...,4,-28.389305353164673,-28.381613159179686,0.007692193984986773
cross_emotion,Joy,Disgust,25,13068,that's like a kel'thuzad/kael'thas wet dream right...,4,-26.49677538871765,-26.493723332881927,0.003052055835723877
cross_emotion,Joy,Disgust,25,13068,"As bad as this sub was in the 1st quarter, our ann...",4,-27.809942293167115,-27.798051130771636,0.011891162395478716
cross_emotion,Sadness,Joy,21,4801,Well good luck and have fun!,4,-26.499624490737915,-26.49068808555603,0.008936405181884766
cross_emotion,Sadness,Joy,21,4801,Glad to see we are still around :).,4,-24.648698472976683,-24.630808782577514,0.01788969039916921
