prompt,emotion,layer,feature_id,run,seed,alpha_-4,alpha_0,alpha_4
Today I feel,Joy,25,13068,1,1800166000,like a failure. I thought I had it figured out. I thought I was ready to start my own hair studio. I thought I was ready to open my own salon. I thought I was ready,like I'm being tested. I feel like my body is letting me down. I feel like I'm not strong enough. I feel like I'm not worthy. I feel like I,"like I’ve been writing for years. To be honest, I’m sure that I’m going to look back and see that I’ve been writing for years, even if only for"
Today I feel,Joy,25,13068,2,4019071621,"like talking about the most boring thing in the world. Well, I guess it’s not so boring when you’re a scientist!

But let’s start at the beginning.

<em>","like sharing a bit about my family and how they have influenced my life and the kind of person I am.  To start off, I am the first born daughter of my parents.  I am","so thankful for you, my friend... I am so grateful for our time together, for the many memories we have shared, for your love and support.  I know that there are a lot of"
Today I feel,Joy,25,13068,3,3228453286,"like sharing some photos from my trip to the West coast. I had a really nice short trip with a friend. We visited San Francisco, Santa Monica, Malibu and Venice Beach. It was beautiful and",like I am on vacation. The sun is shining and the weather is warm. I am in the best of moods and it is all thanks to the photos I took last week with the Nikon Coolpix,"like sharing a story from my childhood that always made me smile. It was the summer of 1990, and I went on vacation with my family to the coast of Portugal. We were"
Today I feel,Joy,25,13068,4,99837036,"like I’m a little bit drunk, not in the sense of I have had a drink, but in the sense that I feel like I’ve experienced a lot.

I’ve been","like a total failure. I haven’t finished a project in a long time. I’m still sitting on the back burner of my knitting machine, which I’ve been plugging along with for","like I really want to talk about my new favourite thing. I have had this idea for a while, but it really came together this week.

I wanted to talk about how to be a good"
Today I feel,Joy,25,13068,5,2846658838,"like I am talking about the same old thing but I am not. I have a new, exciting and unique idea that I want to share with you.

It’s the same thing, but","like talking about the importance of giving. I’m not talking about money, I’m not talking about gifts. I’m talking about time.

Giving of our time is very important.","honored to have been asked to share my experience at “<em><strong>The 2014 International Trade Event</strong></em>” in <strong>Orlando, Florida</strong>, USA.  First of all,"
The weather is,Joy,25,13068,1,2433480038,"starting to get a bit warmer, which means that it’s time to get the summer wardrobe out. But before you do, I think you should browse through this list of 10 of the","forecast to be the worst it's been all year tomorrow, so I decided to go for it and do a little trip along the coast.

I went down to the car park at St.","getting colder and colder, and many people are facing the problem of stuffy nose. One of the main causes of stuffiness is nasal congestion.

In recent years, there are many types of nasal sprays"
The weather is,Joy,25,13068,2,358600795,"hotting up, and the sun is shining. Summer must be around the corner. As you might expect, it will be a busy time for the garden. A time when we are enjoying the fruits","getting cooler and the days are getting shorter and shorter. The leaves are changing and the nights are getting darker. These are the signs of fall, which means it’s almost time to start thinking about","improving and outdoor dining is becoming a welcome addition to the social calendar.

But while the weather is improving, the city is still seeing too many people partying on the streets, especially in the night time"
The weather is,Joy,25,13068,3,3065734856,"getting colder, the leaves are starting to change, and it is pumpkin spice season! We love that fall is here and we are also very excited about the 2015-201","beautiful and sunny in the Northwest this week.

But it is also a week of mourning.

For the first time in decades, many area residents are mourning the loss of a family member or friend","not doing us any favours this year, but even so, people are still finding ways to get outside and make the most of the lovely countryside.

One such person is a man called Matt, who"
The weather is,Joy,25,13068,4,689842243,starting to change and it's time to start thinking about layering your wardrobe. One of the most versatile pieces you can add is a long sleeved shirt. You can wear it by itself or layer it,getting warmer and so is my heart as I am in the process of planning a wedding for early summer. I have always loved the idea of having a summer wedding because of the bright colors that come with,"warming up and it’s time to think about freshening up your wardrobe to suit the warmer months.

The key pieces to have in your wardrobe this season are white, bright, and easy to"
The weather is,Joy,25,13068,5,159085334,"cooling down, leaves are turning, and the air is getting crisp. Fall is in the air, and that means one thing: Halloween is coming up. A holiday that celebrates the dead, the supernatural","getting warm, the grass is growing, and you are probably wanting to get out of the house and do something fun with your kids. But what if it’s pouring rain? Or the kids are","finally warming up, and the ice has melted in the St. Lawrence River. The spring thaw is in full effect.

<strong><em>“It’s getting pretty warm,”</em></strong> said one man"
This news is,Joy,25,13068,1,3340438204,"going to make you smile.

The 2021 Ford Mustang Mach-E is receiving an update, which Ford says will add to its already impressive capabilities.

The Electrified Performance Package","covered by many of the local papers including The Daily Examiner which has the following article:

<b>The Clarence Valley's first 'green' building is a reality </b>

<i>Clarence Valley Council has","a bit bittersweet. On one hand, I’m sad to see the end of one of my favorite segments on <em>Jeopardy!</em>. On the other hand, I’m excited for"
This news is,Joy,25,13068,2,1453039339,"from 2018. It’s too late to save the animals and the ecosystem.

https://news.yahoo.com/disappearing-wildlife-mystery-scientists-2","very exciting and encouraging.

It’s been a week since the last update on the situation with the film.
This is the update:

The film will be ready by the first week of","for all the 11th and 12th students of CBSE, ICSE and Maharashtra boards.  

The time has come to prepare for the board exams.  

You have just"
This news is,Joy,25,13068,3,3464590078,"not good.

This is not good news for the Buffalo Bills.

The Buffalo Bills have placed defensive tackle Jordan Phillips on the reserve/COVID-19 list, according to the team’s",from 2015. I have been working on this issue for the last two years and I am finally getting some traction. The city is finally taking this seriously. The new inspector has been,"going to be a shock to no one. A 2017 movie about the 1950s, <em>The Post</em>, is now nominated for Best Picture at the"
