prompt,experiment,target_emotion,layer,feature_id,run,seed,alpha_0,alpha_4
I'm so excited! This is the best day ever because,happy_to_sad,Sadness,25,66,1,3787418451,"I get to know all about the most important thing in my life, and that is you!

You are the person I have been waiting for, and I hope that you will be the one who","I get to share the newest addition to my family!

I was so excited when I found out I was pregnant again, but I was nervous because I had a miscarriage about a year ago. I"
I'm so excited! This is the best day ever because,happy_to_sad,Sadness,25,66,2,378425568,it's the day my little one gets to go to school. I know some people might be having the opposite feelings but I'm not. For me it's just weird that my baby,"today is my birthday.

I'm 13 years old now. I got a new phone.

I'm going to go out and hang out with my friends.

I can"
I'm so excited! This is the best day ever because,happy_to_sad,Sadness,25,66,3,2840552004,"I get to announce our newest addition to the family. We are SO happy to welcome our sweet little baby girl to the family! 

I'll be sharing more about our sweet bundle of joy","I'm going to play my band's first ever show! My heart is beating so fast and I'm nervous but I'm so, so excited! I can't wait to"
I'm so excited! This is the best day ever because,happy_to_sad,Sadness,25,66,4,3114032006,it's my birthday! Thank you everyone for your birthday wishes. And I have no present for all of you. I know everyone is going to get some cool stuff for their birthday but I have,"I'm in my favorite place in the world. I am in the Philippines and I'm going to the best beaches in the world.

So there was a time in my life when I"
I'm so excited! This is the best day ever because,happy_to_sad,Sadness,25,66,5,2613402953,I am going to have my first baby. I'm going to be a mom. I can't wait to hear him cry for the first time. I can't wait to kiss him,"I've been invited to attend the official opening of the new 53,000m2 shopping centre in the heart of Dubai. Let's just say I'm going to"
I just won the lottery and I feel,happy_to_sad,Sadness,25,66,1,1591994384,like the world is my oyster.  Except for the fact that I have to spend a portion of my winnings on a state tax.  I can’t even splurge on a new car.,"like I’m trapped in a nightmare.

I can’t stop looking at the numbers on the winning ticket.

I can’t stop looking at the numbers on the winning ticket."
I just won the lottery and I feel,happy_to_sad,Sadness,25,66,2,1985696719,"like I should be wearing a suit and tie to collect my winnings.

Well, not exactly.

However, if you’re celebrating a $1,000,000 win",like I have no clue what to do with the money. I’m not from the US so I’m not sure if I’d be able to get a credit card. I know I
I just won the lottery and I feel,happy_to_sad,Sadness,25,66,3,1177261756,that I have to get a new truck to match my new found wealth. I am looking at the 2018 Platinum Crew Cab short box 4x4 with the 5.3,"like there might be a few people who might want to join my new organization.

I will be the leader, of course, but I’m looking for a few co-leaders and I’"
I just won the lottery and I feel,happy_to_sad,Sadness,25,66,4,4215454051,so fucking blessed. I'm going to be able to take care of everyone around me and make sure everyone around me is taken care of. I'm going to be able to buy so much,"like I could buy a ton of books right now lol.

I feel like I should start at the very beginning and work my way up to the recent releases. But I feel like I should start"
I just won the lottery and I feel,happy_to_sad,Sadness,25,66,5,2551297933,"like I would like to donate the winnings to a worthy organization, but I don't know where to start.

I'm thinking about donating to a charity that focuses on helping children, but","like I'm supposed to be thanking someone.

I'm not sure why I had to win the lottery though.

<blockquote>Quote from: ""DarkestHour""I just won the lottery"
My friends threw me a surprise party and I,happy_to_sad,Sadness,25,66,1,2943476582,"loved it. My best friend, who lives in the Northeast US, came down for the weekend to see me and we went to a sports bar for drinks and to see a game. They were all","was so surprised! I was surprised to see them, I was surprised to see what they had prepared, I was surprised to see my mother crying! (I was expecting to cry, but not my"
My friends threw me a surprise party and I,happy_to_sad,Sadness,25,66,2,695973081,had such a blast! I was so surprised! They actually didn’t tell me where we were going. All I knew was that it was a surprise…and 100% not my,"was totally caught off guard. I love surprises, I think they are one of the best things in life, but this once was absolutely wonderful. I have never been surprised by a party before and I"
My friends threw me a surprise party and I,happy_to_sad,Sadness,25,66,3,1871125822,got a lot of gifts. I was not expecting any of them. I love the chocolate and the whiskey bottle. I think I'm going to have to enter the giveaway for the gift card.,"didn't even know! I was so amazed, I cried. I have been dreaming about this for so long, I was so happy! The food was great, the people were awesome, and"
